Nom dolmen,"Lieu, autres noms",Commune ,IGN,OSM,Etat,Lat. N (°),Long. E (°),UTM Nord,UTM Est,Vérif.,Classement,Tumulus,Orthostats,Table,Remarques,Pages Web,Photos,Explications
D. Mons 3,,Assier,-,+,CT,44.683730 ,1.858260,4948452,409520,,,oui,oui,oui,,,,C : dalle de couverture présente. (C): couverture déplacée
D. Mons 2,,Assier,+,+,CT,44.6820 ,1.8560,4948262,409338,,,oui,oui,oui,,,,T : Tumulus
D. Les Vaysses,,Assier,-,,,44.67900,1.8670,4947917,410205,,,?,,?,,,,O : Orthostats
D. Mons 1,Champ de bel Air,Assier,+,+,CT,44.67890 ,1.86170,4947911,409785,,,oui,oui,oui,,,,ro : restes orthostats
D. du Bois des Bœufs,,Assier,+,+,CT,44.67740,1.85620,4947751,409347,,classé MH,oui,oui,oui,,Garivals,oui,IGN : + = porté sur carte IGN
D. de Garivals,D. Chemin des combals,Assier,+,+,CT,44.67570,1.85440,4947564,409201,,,oui,oui,oui,,https://www.lieux-insolites.fr/lot/garivals/garivals.htm,oui,OSM : + = porté sur carte Openstreetmap
D. la Table de Roux,,Assier,+,+,C,44.6690 ,1.8580,4946816,409476,,,non,oui,oui,,Roux,oui,Majuscule : élément de grande taille
D. du Pech Roussel,,Assier,+,+,?,44.65436 ,1.88361,4945162,411484,,,?,?,?,Jamais trouvé,,,Minuscule : élément de petite taille
D. du Causse de Magre,,Assier,+,+,,44.65129,1.87756,4944827,411000,,,,,,,,,ok : Vérification personnelle de la position
Tumulus,,Béduer,,+,T,44.57996,1.911286,4936867,413568,ok,,oui,,,,,,Photos : photos personnelles du site
D. de Sabin,(Clottes n°12),Béduer,-,+,TO,44.56667 ,1.90268,4935400,412865,ok,,oui,2,non,,,,Le tri est fait par commune du Nord au Sud
D. de Martignes ,Martignes (Clottes n°9),Béduer,+,+,C,44.56944,1.90865,4935347,446095,,,non,oui,oui,,Martignes,oui,
D. combe Salgues,Peyro Grondo (Clottes n°4),Béduer,-,+,TO,44.56423 ,1.93496,4935095,415425,ok,,oui,2,non,,,oui,Références :
D. les Justices 2 ,(Clottes n°7),Béduer,-,+,O,44.56246 ,1.92939,4934905,414980,ok,,non,2 petits,non,Bord de chemin,,oui,http://www.megalithic.co.uk/search.php?country=6&county=546
D. les Justices 3,(Clottes n°8),Béduer,-,+,O,44.56233 ,1.92984,4934890,415015,ok,,non,2,non,,,oui,http://t4t35.fr/Megalithes/Default.aspx
D. Cloup de Coutze,Peyres Grèzes (Clottes n°3),Béduer,-,+,tO,44.56220 ,1.92350,4934882,414512,ok,,restes,2,non,,Clottes,oui,http://openstreetmap.fr/
D. du Pech Roussille ,(Clottes n°11),Béduer,-,+,C,44.56175 ,1.91360,4934842,413725,ok,,non,oui,oui,,,oui,https://fr.wikipedia.org/wiki/Sites_mégalithiques_du_Lot
Tumulus de Peyres Grèzes,,Béduer,-,+,T,44.56157 ,1.92116,4934814,414325,ok,,oui,,,,,,http://www.wikiwand.com/fr/Sites_mégalithiques_du_Lot
D. les Justices 1 ,(Clottes n°6),Béduer,-,+,tro,44.56141 ,1.92909,4934788,414954,ok,,restes,1,non,Bord de chemin,,oui,http://thierry.maillard.pagesperso-orange.fr/fr/services/issendolus/sites.htm
D. Lei Barto ,Lissard (Clottes n°2),Béduer,-,+,tO,44.56136 ,1.93342,4934778,415300,ok,,restes,2,non,,,oui,Livres de Monique Mahenc : promenades mégalithiques en Quercy
D. des Garrigues ,Lissard (Clottes n°5),Béduer,-,+,C,44.56089 ,1.94172,4934717,415956,ok,,non,oui,oui,Petit dolmen,,oui,
D. mas Perdut ,(Clottes n°10),Béduer,-,,ro,44.55970 ,1.92718,4934600,414800,,,non,?,non,Bord de route ?,,,
D. des Baillères ,La Bouillague (Clottes n°1),Béduer,-,+,CT,44.55142 ,1.93664,4933671,415540,,,oui,oui,oui,,,,
D. du Pouget (Bullac 1) ,Les Pouzets ,Boussac,-,+,tO,44.59485 ,1.90322,4938530,412950,ok,,restes,2,non,Dans murette,,oui,
D. Mas Grézac (le noble),Champ de Palabre,Boussac,-,+,C,44.58150 ,1.91390,4937036,413778,ok,,non,oui,oui,,,oui,
D. Mas de Brézat,,Boussac,-,+,ct,44.5845 ,1.9120,4937371,413631,ok,,restes,2 inégaux,déplacée ?,Table cassée ?,,oui,
D. Fourques basses,,Brengues,+,+,CT,44.60625 ,1.80985,4939900,405558,,,oui,oui,oui,,,oui,
D. de Lapeyrière,,Brengues,-,+,CT,44.60180 ,1.82180,4939392,406499,,,oui,oui,oui,,,,
D. des Fourques hautes,,Brengues,-,+,C,44.592300 ,1.821800,4938337,406484,,,non,oui,oui,,Clottes,,
D. du Cayrou Gros,,Brengues,-,+,CT,44.55707 ,1.84286,4934400,408100,,,oui,oui,oui,,,,
D. du Pré de Linar,,Brengues,+,+,,44.55549 ,1.84233,4934225,408055,,,oui,,petite,Petit dolmen,,,
D. du Puech des Agars,,Brengues,,,,,,,,,,,,,,,,
D. du Pech de la Barre,,Cabrerets,-,,,44.50935,1.59104,4929413,388009,,,,,,2 Dolmens,,,
D. du Pech de Tibouyé (C),,Cabrerets,-,,,44.5069 ,1.65528,4929055,393110,,,,,,,,,
D. du Mas d'Arjac n°1,Montclar (pech d'Alcayre),Cabrerets,+,,CT,44.50291 ,1.67474,4928587,394650,,inscrit MH,oui,oui,oui,,,,
D. des 4 routes,,Cabrerets,,,,,,,,,,,,,,,,
D. du Poech de Bétaille,,Cabrerets,,,,,,,,,,,,,,,,
D. du Pech de la Rominière,,Cabrerets,,,,,,,,,,,,,,,,
D. du Pech Gibert,,Cabrerets,,,,,,,,,,,,,,,,
D. du Pech Gourié,,Cabrerets,,,,,,,,,,,,,,,,
D. du Pech Mayrès,,Cabrerets,,,,,,,,,,,,,,,,
D. du Mas d'Arjac n°2,,Cabrerets,,,,,,,,,,,,,,,,
D. du communal,,Cadrieu,-,,C,44.51063 ,1.88027,4929200,411000,,,non,oui,oui,,,,
D. du mas de Gentou,,Cadrieu,-,,O,44.50344 ,1.88166,4928400,411100,,,non,oui,non,,,,
D. des Pradines,,Cadrieu,-,,,44.4928 ,1.88056,4927219,410996,,,,,,,,,
D. du Camp de Bouyssou,,Cajarc,,,,44.5249,1.87057,4930795,410251,,,,,,,,,
Verdier 1,Verdier bas,Cajarc,-,,,44.517501 ,1.853208,4929993,408860,,,,,,Douteux,,,
Menhir du Verdier,,Cajarc,,,,44.51701,1.86186,4929929,409547,,,,,,Pilier de grange,,oui,
D. du Verdier (A),Mas de Tardieu,Cajarc,-,+,CT,44.516643,1.864426,4929885,409750,ok,,oui,1 couché,oui,2 chambres,,oui,
D. du Verdier (C),,Cajarc,-,,,44.51457,1.85194,4929668,408754,,,,,,,,,
D.de pech Perdit ,,Cajarc,-,+,C,44.51385,1.86863,4929570,410080,ok,,non,oui,oui,couverture cassée,,oui,
D. du Verdier (B),,Cajarc,-,,,44.51039,1.85152,4929205,408714,,,,,,,Clottes Lorblanchet,,
D. de la Peyro lebado,La Deille,Cajarc,-,+,to(c),44.50330,1.831789,4928440,407135,ok,,restes,1 ?,déplacée,ruine,,oui,
Camp d'Inou Tou 1,D. de Bourriou 1,Cajarc,-,,O,44.50169 ,1.86308,4928226,409620,,,non,oui,non,,,,
Camp d'Inou Tou 3,D. de Bourriou 4,Cajarc,-,,"1o,T",44.50103 ,1.86383,4928151,409679,ok,,oui,1,non,ruine,,oui,
Camp d'Inou Tou 2,D. de Bourriou 2,Cajarc,-,,,44.50078 ,1.86531,4928122,409796,,,,,,,,,
D. des Escabasses,,Cajarc,,,,44.4974,1.83978,4927775,407761,,,,,,,,,
D.du Pech Boule,,Cajarc,,,,44.49508,1.80462,4927558,404962,,,,,,,,,
D. de la Plogne,,Cajarc,-,,C,44.48763 ,1.83040,4926700,407000,,,non,oui,oui,gariotte,,,
D. de Cabouy,,Cajarc,,,,,,,,,,,,,,,,
D. de Faysse,,Cajarc,,,,,,,,,,,,,,,,
D. du Verdier bas,Les Grésals,Cajarc,,,,,,,,,,,,,voir D. du Verdier 1,,,
D. de Bouriou,Bourriou 3 ?,Cajarc,,,,,,,,,,,,,,,,
D. de Ruscou,Ruscou,Cambes,-,+,1O,44.62903 ,1.89858,4942330,412630,ok,,non,"2, 1 visible",non,Au milieu du pré,Puy-Blanc,oui,
D. Le communal,Ruscou,Cambes,-,+,"T,1O",44.62770 ,1.90291,4942180,412970,ok,,oui,1 visible,non,Murette au chevet,Puy-Blanc,oui,
D. du Pournel,Causse de la gare,Cambes,-,+,tO,44.62616 ,1.91077,4942000,413596,ok,,restes,2,non,,Puy-Blanc,oui,
D. de Pierre Levée,Causse de la gare,Cambes,-,+,TO,44.62565 ,1.90668,4941948,413270,ok,inscrit MH,gros,1 visible,non,Gros tumulus,Puy-Blanc,oui,
Tumulus,,Cambes,,+,T,44.62463,1.90657,4941835,413260,ok,,oui,,,,,,
D. Igue de Planagrèze,Pana Grèze,Caniac,+,+,C,44.63551 ,1.66296,4943331,393955,,,non,oui,oui,,,oui,
D. ddu pech des Places,,Caniac,,,,,,,,,,,,,,,,
D. de Cavarroc,,Carayac,-,+,TO,44.54192 ,1.91595,4932638,413882,ok,,oui,2,non,,,oui,
D. du Pech de la Curado,Bourrou,Carayac,-,+,Ct,44.53033 ,1.92425,4931340,414530,ok,,restes,"2, un écroulé",oui,,,oui,
D. de Campayroux,,Carayac,,,,,,,,,,,,,,,,
D. de Brillayre,,Carennac,,,,,,,,,,,,,,,,
D. des Igues de Magnagues,,Carennac,,,,44.88722,1.748056,,,,,,,,,,,
D. du Pech de Gabat,,Carennac,,,,,,,,,,,,,,,,
Dolmens du Noutary,,Carennac,,,,44.9025,1.708611,,,,,,,,8 dolmens,,,
Dolmens du Noutary,,Carennac,,,,44.90639,1.706389,,,,,,,,,,,
D. du Pech de Souly,,Carennac,,,,,,,,,,,,,3 D.,,,
D. du Mas de Labat,,Cénevières,-,,Ct,44.44472 ,1.73253,4922050,399144,,,restes,oui,oui,,,,
D. du Mas de Labat (B),,Cénevières,+,+,O,44.44354 ,1.73119,4921921,399035,,,non,oui,non,,,,
D. du pech Mill,,Cénevières,,,,,,,,,,,,,,,,
