Nom dolmen;Lieu, autres noms;Commune ;IGN;OSM;Etat;Lat. N (°);Long. E (°);UTM Nord;UTM Est;Vérif.;Classement;Tumulus;Orthostats;Table;Remarques;Pages Web;T4T35;Mahenc;Photos;Explications
D. de Viroulou 5;Pech 5 ou Causse bas A;Alvignac;;;;44.84222;1.67333;;;;;;;;;;;;;
D. de Viroulou 6;Pech 6 ou Causse haut A;Alvignac;;;;44.84167;1.67611;;;;;;;;;;;;;
D. de Viroulou 3;Pech 3 ou Causse bas B;Alvignac;;;;44.84083;1.67333;;;;;;;;;;;;;
D. de Viroulou 1;Pech 1;Alvignac;;;;44.84028;1.68083;;;;;;;;D. à vestibule;;Descr;T1 p74;;
D. de Viroulou 4;Pech 4 ou Causse bas C;Alvignac;;;;44.84028;1.67083;;;;;;;;D. à vestibule;;Descr;T1 p72;;
D. de Viroulou 2;Pech 2 ou causse haut B;Alvignac;;;;44.83972;1.67528;;;;;;;;;;;;;
D. Mons 3;;Assier;-;+;T C;44.683730 ;1.858260;4948452;409520;;;oui;oui;oui;;;Descr;T1 p160;;C : dalle de couverture présente. (C): couverture déplacée
D. Mons 2;;Assier;+;+;T C;44.6820 ;1.8560;4948262;409338;;;oui;oui;oui;;;Descr;T1 p157;;T : Tumulus
D. Les Vaysses;;Assier;-;;;44.67900;1.8670;4947917;410205;;;?;;?;;;;;;O : Orthostats
D. Mons 1;Champ de bel Air;Assier;+;+;T C;44.67890 ;1.86170;4947911;409785;;;oui;oui;oui;;wiki;Descr;T1 p154;;ro : restes orthostats
D. de Mérigou;;Assier;;+;;44.67870;1.86370;4947887;409943;;;;;;;;;;;
D. du Bois des Bœufs;;Assier;+;+;T C;44.67740;1.85620;4947751;409347;;classé MH;oui;oui;oui;;Garivals;Descr;T1 p164;oui;IGN : + = porté sur carte IGN
D. de Garivals;D. Chemin des Combals;Assier;+;+;T C;44.67570;1.85440;4947564;409201;;;oui;oui;oui;;Garivals;Descr;T1 p168;oui;OSM : + = porté sur carte Openstreetmap
D. la Table de Roux;;Assier;+;+;C;44.6690 ;1.8580;4946816;409476;;;non;oui;oui;;Roux;Descr;T1 p166;oui;Majuscule : élément de grande taille
D. du Pech Roussel;;Assier;+;+;?;44.65436 ;1.88361;4945162;411484;;;?;?;?;Jamais trouvé;;Descr;;;Minuscule : élément de petite taille
D. du Causse de Magre;;Assier;+;+;;44.65129;1.87756;4944827;411000;;;;;;;;;;;ok : Vérification personnelle de la position
Tumulus;;Béduer;;+;T;44.57996;1.911286;4936867;413568;ok;;oui;;;;;;;;Photos : photos personnelles du site
D. de Sabin;;Béduer;-;+;TO;44.56667 ;1.90268;4935400;412865;ok;;oui;oui;non;;;;T2 p158;;Le tri est fait par commune du Nord au Sud
D. de Martignes ;;Béduer;+;+;C;44.56944;1.90865;4935347;446095;;;non;oui;oui;;Martignes;Descr;T2 p172;oui;
D. de Combe Salgues;Peyro Grondo ;Béduer;-;+;TO;44.56423 ;1.93496;4935095;415425;ok;;oui;2;non;;wiki;;T2 p157;oui;Références :
D. les Justices 2 ;;Béduer;-;+;O;44.56246 ;1.92939;4934905;414980;ok;;non;2 petits;non;Bord de chemin;wiki;;;oui;http://www.megalithic.co.uk/search.php?country=6&county=546
D. les Justices 3;;Béduer;-;+;O;44.56233 ;1.92984;4934890;415015;ok;;non;2;non;;wiki;;T2 p174;oui;http://t4t35.fr/Megalithes/Default.aspx
D. Cloup de Coutze;Peyres Grèzes ;Béduer;-;+;tO;44.56220 ;1.92350;4934882;414512;ok;;restes;2;non;;Clottes;Descr;T2 p167;oui;http://openstreetmap.fr/
D. du Pech Roussille ;;Béduer;-;+;C;44.56175 ;1.91360;4934842;413725;ok;;non;oui;oui;;;Descr;T2 p162;oui;https://fr.wikipedia.org/wiki/Sites_mégalithiques_du_Lot
Tumulus de Peyres Grèzes;;Béduer;-;+;T;44.56157 ;1.92116;4934814;414325;ok;;oui;;;;;;;;http://www.wikiwand.com/fr/Sites_mégalithiques_du_Lot
D. les Justices 1 ;;Béduer;-;+;tro;44.56141 ;1.92909;4934788;414954;ok;;restes;1;non;Bord de chemin;wiki;;;oui;http://thierry.maillard.pagesperso-orange.fr/fr/services/issendolus/sites.htm
D. Lei Barto ;Lissard ;Béduer;-;+;tO;44.56136 ;1.93342;4934778;415300;ok;;restes;oui;non;;wiki;Descr;T2 p176;oui;Livres de Monique Mahenc : promenades mégalithiques en Quercy
D. des Garrigues ;Lissard ;Béduer;-;+;C;44.56089 ;1.94172;4934717;415956;ok;;non;oui;oui;Petit dolmen;wiki;;T2 p169;oui;
D. mas Perdut ;;Béduer;-;;ro;44.55970 ;1.92718;4934600;414800;;;non;?;non;Bord de route ?;;;;;
D. des Baillères ;La Bouillague;Béduer;-;+;T C;44.55142 ;1.93664;4933671;415540;;;oui;oui;oui;;;Descr;;oui;
D. du Pouget (Bullac 1) ;Les Pouzets ;Boussac;-;+;tO;44.59485 ;1.90322;4938530;412950;ok;;restes;2;non;Dans murette;;Descr;T2 p60;oui;
D. Mas Grézac (le Noble);Champ de Palabre;Boussac;-;+;C;44.58085;1.91394;4936963;413780;ok;;non;oui;oui;;;Descr;T2 p69;oui;
D. Mas de Brézat;Mas de Bézac (Clottes);Boussac;-;+;t c;44.5845 ;1.91234;4937370;413658;ok;;restes;2 inégaux;déplacée ?;Table cassée ;;;T2 p67;oui;
D. Mas de Brézac;;Boussac;;;2x2O;;;;;;;;4;non;Double (pech);;;;;
D. les Tuillières;;Boussac;;;1o;;;;;;;restes;1;non;Sommet pech;;;;;
D. Fourques basses;;Brengues;+;+;T C;44.60625 ;1.80985;4939900;405558;;;oui;oui;oui;;wiki;Descr;T2 p102;oui;
D. de Lapeyrière;;Brengues;-;+;T C;44.60180 ;1.82180;4939392;406499;;;oui;oui;oui;;wikipedia;;T2 p98;;
D. des Fourques hautes;;Brengues;-;+;C;44.592300 ;1.821800;4938337;406484;;;non;oui;oui;;Clottes;;T2 p94;;
D. du Cayrou Gros;;Brengues;-;+;T C;44.55707 ;1.84286;4934400;408100;;;oui;oui;oui;;;;T2 p93;;
D. du Pré de Linar;;Brengues;+;+;T C;44.55549 ;1.84233;4934225;408055;;;oui;invisibles;petite;Petit dolmen;;Descr;T2 p90;;
D. du Puech des Agars;;Brengues;;;;;;;;;;;;;;;;;;
D. du Pech de la Barre;;Cabrerets;-;;TO;44.50935;1.59104;4929413;388009;;;oui;oui;non;2 Dolmens;;Descr;;;
D. du Pech de Tibouyé (C);;Cabrerets;-;;TO;44.5069 ;1.65528;4929055;393110;;;oui;oui;non;Vestibule;;Descr;;;
D. du Mas d'Arjac n°1;Montclar (pech d'Alcayre);Cabrerets;+;;T C;44.50291 ;1.67474;4928587;394650;;inscrit MH;oui;oui;oui;;wikipedia;Descr;T2 p148;;
D. des 4 routes;;Cabrerets;;;TO;;;;;;;oui;oui;non;2è chambre;;;;;
D. du Poech de Bétaille;;Cabrerets;;;TO;;;;;;;oui;oui;non;;;;;;
