"IDSite";"NomSite";"NumSite";"Type";"Commune";"Departement";"Coord.Value";"Latitude";"Longitude";"MetriqueX";"MetriqueY"
"DLAGAR+3";"Dolmen des Agars";"9425";"Dolmen";"Saint-Chels";"46";" N44.54735 E1.81769";"44.54735";"1.81769";"558741.558468649";"1949736,90742057"
"DLAGUA-4";"Dolmen des Aguals";"9404";"Dolmen";"Gréalou";"46";" N44.528723 E1.894444";"44.528723";"1.894444";"564832,976923513";"1947628,34951509"
"DLBAIL+2";"Dolmen des Baillères";"32799";"Dolmen";"Béduer";"46";" N44.5514167 E1.9366389";"44.5514167";"1.9366389";"568202,086576999";"1950133,73609219"
"DLBAR6-0";"Dolmen de Barthe Soubronne";"31823";"Dolmen";"Montvalent";"46";" N44.8632891 E1.6588219";"44.8632891";"1.6588219";"546412,497433596";"1984959,99781837"
"DLBAR7-2";"Dolmen de Barrières (A)";"31825";"Dolmen";"Miers";"46";" N44.8713201 E1.6931624";"44.8713201";"1.6931624";"549135,002195136";"1985830,00115378"
"DLBAR8 0";"Dolmen de Bartassou";"32248";"Dolmen";"Sérignac";"46";" N44.446151 E1.075747";"44.446151";"1.075747";"499568,339355987";"1939153,6787824"
"DLBAR9 0";"Dolmen des Barthès (A)";"32252";"Dolmen";"Floirac";"46";" N44.8977275 E1.6641936";"44.8977275";"1.6641936";"546870,003475243";"1988785,00003515"
"DLBARC 0";"Dolmen des Barthès (B)";"32253";"Dolmen";"Floirac";"46";" N44.895669 E1.673376";"44.895669";"1.673376";"547593,644412648";"1988549,97903538"
"DLBARF 0";"Dolmen de Barrade";"32257";"Dolmen";"Montvalent";"46";" N44.880177 E1.652167";"44.880177";"1.652167";"545902,682027968";"1986842,06059103"
"DLBARR-3";"Dolmen des Barrières (B)";"11630";"Dolmen";"Miers";"46";" N44.87002 E1.68995";"44.87002";"1.68995";"548879,854242225";"1985687,54911076"
"DLBAUN X";"Dolmen de la Baune";"32267";"Dolmen";"Junies";"46";" N44.5392 E1.23556";"44.5392";"1.23556";"512442,549585626";"1949308,12204242"
"DLBERT-3";"Dolmen de la Bertrandoune";"9419";"Dolmen";"Prayssac";"46";" N44.52842 E1.21846";"44.52842";"1.21846";"511065,696722389";"1948128,76616843"
"DLBO03*4";"Dolmen du Bois des Boeufs";"9396";"Dolmen";"Assier";"46";" N44.67734 E1.85625";"44.67734";"1.85625";"561896,091854649";"1964170,8502577"
"DLBO23-3";"Dolmen de Bouyé";"12070";"Dolmen";"Gramat";"46";" N44.77244 E1.74592";"44.77244";"1.74592";"553223,086253163";"1974803,97685126"
"DLBOIH-3";"Dolmen du Bois des Escures (A)";"30728";"Dolmen";"Beauregard";"46";" N44.3639297 E1.7678936";"44.3639297";"1.7678936";"554634,289445597";"1929368,57102739"
"DLBOII-2";"Dolmen du Bois des Escures (B)";"30729";"Dolmen";"Beauregard";"46";" N44.365103 E1.7662342";"44.365103";"1.7662342";"554502,860647376";"1929500,0048439"
"DLBOR0+4";"Dolmen de la Métairie haute";"9430";"Dolmen";"Marcilhac-sur-Célé";"46";" N44.55157 E1.80261";"44.55157";"1.80261";"557545,669891448";"1950214,17783517"
"DLBOR1+4";"Dolmen des Bories (A)";"11272";"Dolmen";"Saint-Jean-de-Laur";"46";" N44.4193611 E1.8047222";"44.4193611";"1.8047222";"557614,011368189";"1935512,00385691"
"DLBOR4 2";"Dolmen de la Borie du Bois (B)";"22431";"Dolmen";"Laramière";"46";" N44.357 E1.875";"44.357";"1.875";"563174,08103027";"1928541.89654295"
"DLBOR5 0";"Dolmen de la Borie Grande";"32278";"Dolmen";"Durbans";"46";" N44.684333 E1.744437";"44.684333";"1.744437";"553031.759465972";"1965008,95059505"
"DLBOR6+2";"Dolmen des Bories (B)";"32429";"Dolmen";"Saint-Jean-de-Laur";"46";" N44.4219722 E1.8065833";"44.4219722";"1.8065833";"557764,29311816";"1935801.35312875"
"DLBOUP-0";"Dolmen de Bougoulat";"32239";"Dolmen";"Padirac";"46";" N44.865328 E1.7586526";"44.865328";"1.7586526";"554307,47215968";"1985123,55818057"
"DLBOYGX0";"Dolmen de Boygues Basse";"32268";"Dolmen";"Carlucet";"46";" N44.7225 E1.615";"44.7225";"1.615";"542803,832787399";"1969338,30790933"
"DLBUT2X0";"Dolmen de la Butte de Saint-Simon";"32265";"Dolmen";"Belfort-du-Quercy";"46";" N44.2692 E1.5425";"44.2692";"1.5425";"536547,4847657";"1918990,41699394"
"DLCALC-0";"Dolmen des Calcas";"11627";"Dolmen";"Padirac";"46";" N44.85122 E1.75941";"44.85122";"1.75941";"554355,825124937";"1983554,646282"
"DLCAM3-0";"Dolmen de Cambajou";"13028";"Dolmen";"Montfaucon";"46";" N44.67174 E1.61977";"44.67174";"1.61977";"543130,412813046";"1963691.24386786"
"DLCAND-3";"Dolmen de Candare";"11637";"Dolmen";"Floirac";"46";" N44.89172 E1.68279";"44.89172";"1.68279";"548333,89148833";"1988104,71596235"
"DLCAR5 0";"Dolmen de Carriol";"23433";"Dolmen";"Concorès";"46";" N44.65593 E1.38666";"44.65593";"1.38666";"524615,157415928";"1962129,7269917"
"DLCARB-3";"Dolmen des Carbonnières";"30325";"Dolmen";"Tour-de-Faure";"46";" N44.4790542 E1.6798106";"44.4790542";"1.6798106";"547714,678497825";"1942225,00411378"
"DLCARG-2";"Dolmen de la Carture";"31827";"Dolmen";"Miers";"46";" N44.8637675 E1.6822143";"44.8637675";"1.6822143";"548262,498442943";"1984997,4951872"
"DLCART-2";"Dolmen de Cieurac";"12073";"Dolmen";"Lanzac";"46";" N44.8865228 E1.4582837";"44.8865228";"1.4582837";"530585,718030846";"1987700,00242956"
"DLCAU0-3";"Dolmen dit los Tres Peyres";"9437";"Dolmen";"Castelfranc";"46";" N44.51129 E1.21549";"44.51129";"1.21549";"510802,294351958";"1946227,53810278"
"DLCAU1-3";"Dolmen de Quetty";"9439";"Dolmen";"Junies";"46";" N44.5323 E1.21751";"44.5323";"1.21751";"510996,284322576";"1948561.23694111"
"DLCAY1-0";"Dolmen de Ganil";"28494";"Dolmen";"Gréalou";"46";" N44.53527 E1.90307";"44.53527";"1.90307";"565523,122912951";"1948352,5072627"
