Nom,Lat,Lon,Commune
Dolmen de Viroulou n°1,44.84015,1.68073,?
Dolmen de Viroulou n°2,44.83974,1.67525,?
Dolmen de Viroulou n°3,44.84073,1.67337,?
Dolmen de Viroulou n°4,44.84029,1.67095,?
Dolmen de Viroulou n°5,44.84211,1.67334,?
Dolmen de Viroulou n°6,44.84164,1.67612,?
Dolmen de Garivals,44.67556,1.85444,?
Dolmen de la Table de Roux,44.66861,1.85806,?
Dolmen de Mons n°1,44.67861,1.86167,?
Dolmen de Mons n°2,44.68194,1.8556,?
Dolmen de Mons n°3,44.68361,1.85806,?
Dolmen du Bois-des-Bœufs,44.677175,1.855942,?
Dolmen du Causse de Magre,44.65111,1.8775,?
Dolmen du Pech Roussel,44.65444,1.88389,?
Dolmen de la Combe du Cornier,44.36861,1.77333,?
Dolmen de Leï Barto,44.5611,1.93333,?
Dolmen de Martignes,44.5694,1.90861,?
Dolmen de Sabin,44.56667,1.9025,?
Dolmen des Baillères,44.55139,1.93639,?
Dolmen du Pech de la Roussille,44.56278,1.91778,?
Dolmen de Lapeyrière,44.60167,1.82167,?
Dolmen des Fourques Hautes,44.592396,1.821795,?
Dolmen du Mas d'Arjac n°1,44.5029,1.6747,?
Dolmen du Mas d'Arjac n°2,44.501920,1.673790,?
Dolmen du Camp d'Inou Tou n°1,44.501694,1.863083,?
Dolmen du Camp d'Inou Tou n°2,44.500778,1.865306,?
Dolmen du Camp d'Inou Tou n°3,44.501028,1.863833,?
Dolmen du Verdier n°1,44.516611,1.864389,?
Dolmen du Verdier n°2,44.51305,1.85129,?
Dolmen du Verdier n°3,44.514886,1.851818,?
Dolmen d'Aubiac,44.43028,1.81417,?
Dolmen de Commun,44.432750,1.777528,?
Dolmen de la Pièce Grande,44.43778,1.79472,?
Dolmen de Peyre Gagès,44.443436,1.777750,?
Dolmen du Mas-del-Duc,44.42306,1.78361,?
Dolmen de Pierre Levée,44.6262,1.9044,?
Dolmen de Planagrèze,44.63444,1.66333,?
Dolmen des Igues de Magnagues,44.887225,1.731390,?
Dolmen du Noutary n°2,44.90639,1.70639,?
Dolmen de Los-Très-Peyros,44.5111,1.21528,?
Dolmen du Pech de Roquebert,44.51417,1.21889,?
Dolmen du Mas de Labat n°2,44.4436,1.731,?
Dolmen du Mas de Para,44.43167,1.7083,?
Dolmen de La Borie Grande,44.68361,1.74639,?
Dolmen de Peyre de l'Homme,44.6916,1.7864,?
Dolmen des Roques n° 1,44.6918,1.7978,?
Dolmen des Roques n° 2,44.692,1.7984,?
Dolmen de Verdier-Petit,44.6769,1.782852,?
Dolmen de l'Artillou,44.61639,1.78694,?
Dolmen de Peyrefit,44.62167,1.79111,?
Dolmen du Pech Ventoux,44.63639,1.80083,?
Dolmen de Ginouillac,44.59667,1.77417,?
Dolmen des Escabasses,44.71718,1.79571,?
Dolmen de Camp del Prieu,44.91306,1.68167,?
Dolmen de Candare n°1,44.891772,1.682733,?
Dolmen de Candare n°2,44.891208,1.681262,?
Dolmen de la Combe de Xey,44.90694,1.68389,?
Dolmen de Cloup de Roual,44.8925,1.69639,?
Dolmen d'Uffande,44.917442,1.681151,?
Dolmen du Pech-Cayrou,44.904991,1.673401,?
Dolmens des Barthes n°1,44.895847,1.673565,?
Dolmens des Barthes n°2,44.8934,1.6752,?
Dolmen du Douyounet,44.67139,1.63944,?
Pierre Levée de Nougayrac,44.6633,1.697,?
Dolmen du Cayrou de L'Homme Mort,44.87318,1.7591,?
Dolmen des Cloups,44.7239,1.5367,?
Dolmen de Costeraste,44.706029,1.343571,?
Dolmen de Bouyé,44.773150,1.744304,?
Dolmen des Plassous,44.7729,1.6896,?
Dolmen du Terrou,44.774170,1.761940,?
Dolmen de Pech de Grammont,44.7848,1.6727,?
Dolmen de Ganil,44.535100,1.903741,?
Dolmen des Aguals,44.5288,1.8944,?
Dolmen de Pech Laglayre n°1,44.5346,1.8626,?
Dolmen de Pech Laglayre n°2,44.534726,1.865461,?
Dolmen de Pech Laglayre n°3,44.532843,1.866712,?
Dolmen de Custalou,44.6249,1.8137,?
Dolmen de Ligoussou,44.609781,1.851021,?
Dolmen des Fourques-Basses,44.606249,1.809854,?
Dolmen du Cloup-de-Périès,44.616967,1.827679,?
Dolmen de la Baune,44.74139,1.805,?
Dolmen de la Pierre-Levée de Lacoste,44.751459,1.764131,?
Dolmen de Saint-Chignes,44.749287,1.760402,?
Dolmen de Gabaudet n°1,44.7147,1.7511,?
Dolmen de Gabaudet n°2,44.74917,1.76028,?
Dolmen des Jasses,44.378129,1.361078,?
Dolmen de la Croix Blanche,44.92361,1.49028,?
Dolmen de la Pierre-Levée,44.325189,1.575974,?
Dolmen de Peyro Levado,44.3503,1.8443,?
Dolmen de Marcigaliet n°X,44.360311,1.852119,?
Peyro Levado,44.4922558,1.75139,?
Peyro Clabado ,44.92033,1.751389,?
Dolmen de Surgès,44.6203,1.3047,?
Pierre Levée (Lentillac-du-Causse),44.553162,1.647689,?
Dolmen des Bouygues,44.55028,1.64528,?
Les Trois Pierres,44.532575,1.217111,?
Menhirs de Roquebert,44.5225,1.22306,?
Dolmen d'Agranel,44.4161,1.7847,?
Dolmen de Ferrières-Haut,44.381586,1.740562,?
Dolmen de Joncas,44.39,1.7519,?
Dolmen de Pajot,44.3877,1.7799,?
Dolmen de Pech-Lapeyre,44.4019,1.7523,?
Dolmen de la Croze,44.63333,1.86972,?
Pierre Martine,44.6608,1.8209,?
Dolmen de Peych Peyroux,44.621088,1.870117,?
Dolmen de Rougié,44.66147,1.82055,?
Dolmen des Pouzats,44.62107,1.88701,?
Dolmens du Cloup-Caoud,44.63444,1.87806,?
Menhir de Bélinac,44.6352,1.859,?
Dolmen d'Horaste,44.851867,1.803860,?
Dolmen de Croix Hélène,44.86028,1.7657,?
Dolmen de Pech Plumet B,44.85445,1.774736,?
Dolmen de la Terre de Lacoste,44.86237,1.75773,?
Dolmen des Combes Nègres,44.412386,1.707243,?
Dolmen du Mas de Rastouillet,44.422709,1.738342,?
Dolmen de la Devèze,44.5411,1.752,?
Dolmen de Majourals,44.536933,1.813248,?
Dolmen des Combes-Hautes,44.5675,1.76194,?
Dolmen Mas Jean-Blanc,44.551561,1.802579,?
Dolmen de la Combe de Saule n°1,44.538542,1.815138,?
Dolmen de la Combe de Saule n°2,44.539894,1.814594,?
Dolmen de la Combe de Saule n°3,44.541877,1.813557,?
Menhir de Mayrac n°1,44.905781,1.523368,?
Menhir de Mayrac n°2,44.890805,1.519443,?
Dolmen de la Carture,44.86139,1.6875,?
Dolmen de Peyrebru,44.883409,1.695960,?
Dolmen du Pech des Auques,44.87389,1.6722,?
Dolmen des Barrières n°2,44.869971,1.689734,?
Dolmen des Barrières n°3,44.8688,1.6838,?
Dolmens des Fieux,44.87972,1.69333,?
