"Nom","Lat","Lon","Commune"
"Dolmen de Viroulou n°1","44.84015","1.68073","?"
"Dolmen de Viroulou n°2","44.83974","1.67525","?"
"Dolmen de Viroulou n°3","44.84073","1.67337","?"
"Dolmen de Viroulou n°4","44.84029","1.67095","?"
"Dolmen de Viroulou n°5","44.84211","1.67334","?"
"Dolmen de Viroulou n°6","44.84164","1.67612","?"
"Dolmen de Garivals","44.67556","1.85444","?"
"Dolmen de la Table de Roux","44.66861","1.85806","?"
"Dolmen de Mérigou","44.67870","1.86370","?"
"Dolmen de Mons n°1","44.67861","1.86167","?"
"Dolmen de Mons n°2","44.68194","1.85560","?"
"Dolmen de Mons n°3","44.68361","1.85806","?"
"Dolmen du Bois-des-Bœufs","44.67718","1.85594","?"
"Dolmen du Causse de Magre","44.65111","1.8775","?"
"Dolmen du Pech Roussel","44.65444","1.88389","?"
"Dolmen de la Combe du Cornier","44.36861","1.77333","?"
"Dolmen de Combes-Salgue du Cornier","44.56417","1.93500","?"
"Dolmen de Leï Barto","44.56110","1.93333","?"
"Dolmen de Martignes","44.56940","1.90861","?"
"Dolmen de Sabin","44.56667","1.90250","?"
"Dolmen des Baillères","44.55139","1.93639","?"
"Dolmen des Garrigues","44.56083","1.94167","?"
"Dolmen des Justices n°1","44.56139","1.92917","?"
"Dolmen des Justices n°2","44.56250","1.92944","?"
"Dolmen des Justices n°3","44.56222","1.92972","?"
"Dolmen du Cloup de Coutzel","44.56228","1.92353","?"
"Dolmen du Pech de la Roussille","44.56278","1.91778","?"
"Dolmen de Noble","44.58090","1.91394","?"
"Dolmen du Causse de Bullac n°1","44.59478","1.90327","?"
"Dolmen du Causse de Bullac n°2","44.59860","1.90185","?"
"Dolmens du Mas de Brézac","44.58446","1.91262","?"
"Dolmen de Cayrou Gros","44.55807","1.84209","?"
"Dolmen de Lapeyrière","44.60167","1.82167","?"
"Dolmen des Fourques Basses","44.60609","1.80993","?"
"Dolmen des Fourques Hautes","44.59240","1.82180","?"
"Dolmen du Pré de Linars","44.55541","1.84257","?"
"Dolmen du Mas d'Arjac n°1","44.50290","1.67470","?"
"Dolmen du Mas d'Arjac n°2","44.50192","1.67379","?"
"Dolmen de Bouriou","44.50171","1.86310","?"
"Dolmens du Camp d'Inou Tou n°1","44.50169","1.86308","?"
"Dolmen du Camp d'Inou Tou n°2","44.50078","1.86531","?"
"Dolmen du Camp d'Inou Tou n°3","44.50103","1.86383","?"
"Dolmen du Verdier n°1","44.51661","1.86439","?"
"Dolmen du Verdier n°2","44.51305","1.85129","?"
"Dolmen du Verdier n°3","44.51489","1.85182","?"
"Dolmen d'Aubiac","44.43028","1.81417","?"
"Dolmen de Commun","44.43275","1.77753","?"
"Dolmen de la Pièce Grande","44.43778","1.79472","?"
"Dolmen de Peyre Gagès","44.44344","1.77775","?"
"Dolmen du Mas-del-Duc n°1","44.42306","1.78361","?"
"Dolmen du Mas-del-Duc n°2","44.42289","1.78490","?"
"Dolmen de Pierre Levée","44.62620","1.90440","?"
"Dolmen Le Communal","44.62769","1.90291","?"
"Dolmen Le Ruscou","44.62900","1.89859","?"
"Dolmen Le Pournel","44.62616","1.91076","?"
"Dolmen de Planagrèze","44.63444","1.66333","?"
"Dolmen de Cavarroc","44.54194","1.91583","?"
"Dolmen du Pech de la Curado","44.53028","1.92417","?"
"Dolmen des Igues de Magnagues","44.88723","1.73139","?"
"Dolmen du Noutary n°1","44.90250","1.70861","?"
"Dolmen du Noutary n°2","44.90639","1.70639","?"
"Dolmen de Los-Très-Peyros","44.51110","1.21528","?"
"Dolmen du Pech de Roquebert","44.51417","1.21889","?"
"Dolmen du Mas de Labat n°2","44.44360","1.73100","?"
"Dolmen de Peyrelongue","44.61714","1.89968","?"
"Dolmen du Pech d'Arsou","44.61094","1.87918","?"
"Dolmen d'Auriac n°1","44.59371","1.88469","?"
"Dolmen d'Auriac n°2","44.59178","1.88104","?"
"Dolmen d'Auriac n°3","44.59318","1.88194","?"
"Menhir du Suquet","44.60589","1.87256","?"
"Dolmen du Mas de Para","44.43167","1.70830","?"
"Dolmen de La Borie Grande","44.68361","1.74639","?"
"Dolmen de Peyre de l'Homme","44.69160","1.78640","?"
"Dolmen des Roques n°1","44.69180","1.79780","?"
"Dolmen des Roques n°2","44.69200","1.79840","?"
"Dolmen de Verdier-Petit","44.67690","1.78285","?"
"Dolmen de Coste Pialade","44.59662","1.86745","?"
"Dolmen de l'Artillou","44.61639","1.78694","?"
"Dolmen de Peyrefit","44.62167","1.79111","?"
"Dolmen de Place del Sol","44.64469","1.78068","?"
"Dolmen du Pech Ventoux","44.63639","1.80083","?"
"Dolmen de Ginouillac","44.59667","1.77417","?"
"Dolmen de Ferrières","44.57409","1.99389","?"
"Dolmen des Escabasses","44.71718","1.79571","?"
"Dolmen de Camp del Prieu","44.91306","1.68167","?"
"Dolmen de Candare n°1","44.89177","1.68273","?"
"Dolmen de Candare n°2","44.89121","1.68126","?"
"Dolmen de la Combe de Xey","44.90694","1.68389","?"
"Dolmen de Cloup de Roual","44.89298","1.69579","?"
"Dolmen d'Uffande","44.91744","1.68115","?"
"Dolmen du Pech-Cayrou","44.90499","1.67340","?"
"Dolmens des Barthes n°1","44.89585","1.67357","?"
"Dolmens des Barthes n°2","44.89340","1.67520","?"
"Dolmen du Douyounet","44.67139","1.63944","?"
"Pierre Levée de Nougayrac","44.66330","1.69700","?"
"Dolmen des Cloups","44.72390","1.53670","?"
"Dolmen du Cayrou de L'Homme Mort","44.87318","1.75910","?"
"Dolmen de Costeraste","44.70603","1.34357","?"
"Dolmen de Bouyé","44.77315","1.74430","?"
"Dolmen de Saint-Chignes","44.74929","1.76040","?"
"Dolmen des Plassous","44.77290","1.68960","?"
"Dolmen du Terrou","44.77417","1.76194","?"
"Dolmen de Pech de Grammont","44.78480","1.67270","?"
"Dolmen de Ganil","44.53510","1.90374","?"
"Dolmen des Aguals","44.52880","1.89440","?"
"Dolmen des Vandourgues","44.52773","1.85436","?"
"Dolmen de Pech Laglayre n°1","44.53460","1.86260","?"
"Dolmen de Pech Laglayre n°2","44.53473","1.86546","?"
"Dolmen de Pech Laglayre n°3","44.53284","1.86671","?"
"Dolmen de Custalou","44.62490","1.81370","?"
"Dolmen de Ligoussou","44.60978","1.85102","?"
"Dolmen du Cloup-de-Périès","44.61697","1.82768","?"
"Dolmen de Gary","44.74734","1.76817","?"
"Dolmen de la Baune","44.74158","1.80499","?"
"Dolmen de la Pierre-Levée de Lacoste","44.75146","1.76413","?"
"Dolmen de Souilhol","44.74100","1.76450","?"
"Dolmen de Gabaudet n°1","44.71487","1.75141","?"
"Dolmen de Gabaudet n°2","44.71392","1.75299","?"
"Dolmen des Jasses","44.37813","1.36108","?"
"Dolmen de la Croix Blanche","44.92361","1.49028","?"
