Nom;Commune;Pages Web;Remarques;Lieu;Classement;Lat;Lon
Dolmens de Viroulou Dolmen du Pech 1;Alvignac;;;6 dolmens;;44.84015;1.68073
Dolmens de Viroulou Pech 2 ou Causse Haut B;Alvignac;;;6 dolmens;;44.83974;1.67525
Dolmens de Viroulou Pech 3 ou Causse Bas B;Alvignac;;;6 dolmens;;44.84073;1.67337
Dolmens de Viroulou Pech 4 ou Causse Bas C;Alvignac;;;6 dolmens;;44.84029;1.67095
Dolmens de Viroulou Pech 5 ou Causse Bas A;Alvignac;;;6 dolmens;;44.84211;1.67334
Dolmens de Viroulou Pech 6 ou Causse Haut A;Alvignac;;;6 dolmens;;44.84164;1.67612
Dolmen de Garivals ;Assier;https://fr.wikipedia.org/wiki/Dolmen de Garivals;;autre nom Dolmen du Chemin des Combals Clottes p47 .;;44.67556;1.85444
Dolmen de la Table de Roux ;Assier;;;;;44.66861;1.85806
Dolmen de Mérigou ;Assier;;Ouvrage langue=fr titre=Clottes Jean. Midi-Pyrénées. In : Gallia préhistoire  tome 24  fascicule 2  1981. pp. 525-570  éditeur= année= passage=pages 539-540 isbn= lire en ligne=http://www.persee.fr/doc/galip_0016-4127_1981_num_24_2_1685#galip_0016-4127_1981_num_24_2_T1_0539_0000  - ;;;44.67870;1.86370
Dolmens de Mons Dolmen n° 1;Assier;https://fr.wikipedia.org/wiki/Dolmens de Mons;;3 dolmens<br autre nom Dolmens du Champ de Belair;;44.67861;1.86167
Dolmens de Mons Dolmen n° 2;Assier;https://fr.wikipedia.org/wiki/Dolmens de Mons;;3 dolmens<br autre nom Dolmens du Champ de Belair;;44.68194;1.8556
Dolmens de Mons Dolmen n° 3;Assier;https://fr.wikipedia.org/wiki/Dolmens de Mons;;3 dolmens<br autre nom Dolmens du Champ de Belair;;44.68361;1.85806
Dolmen du Bois-des-Bœufs ;Assier;https://fr.wikipedia.org/wiki/Dolmen du Bois-des-Bœufs;Base Mérimée PA00094968 ;;Classé MH 1889;44.677175;1.855942
Dolmen du Causse de Magre ;Assier;;;;;44.65111;1.8775
Dolmen du Pech Roussel ;Assier;;;;;44.65444;1.88389
Dolmen de lEscabassole ;Bach_(Lot);;Clottes 1977 p=51   - ;;;44.38301;1.67595
Dolmen de la Combe du Cornier ;Beauregard_(Lot);;;;;44.36861;1.77333
Dolmen de Combes-Salgue ;Béduer;;;autre nom La Peyro Grondo Clottes p53 Clottes 1977 p=53 ;;"44°33'51""";"1°56'06"""
Dolmen de Leï Barto ;Béduer;;Clottes p53   - ;;;44.5611;1.93333
Dolmen de Martignes ;Béduer;;;;;44.5694;1.90861
Dolmen de Sabin ;Béduer;;Clottes 1977 p=57   - ;;;44.56667;1.9025
Dolmen des Baillères ;Béduer;;;;;44.55139;1.93639
Dolmen des Garrigues ;Béduer;;Clottes p53   - ;;;"44°33'39""";"1°56'30"""
Dolmens des Justices Dolmen n° 1;Béduer;;;3 dolmens Clottes p55 Clottes 1977 p=55 ;;"44°33'41""";"1°55'45"""
Dolmens des Justices Dolmen n° 2;Béduer;;;3 dolmens Clottes p55 Clottes 1977 p=55 ;;"44°33'45""";"1°55'46"""
Dolmens des Justices Dolmen n° 3;Béduer;;;3 dolmens Clottes p55 Clottes 1977 p=55 ;;"44°33'44""";"1°55'47"""
Dolmen du Cloup de Coutze ;Béduer;https://fr.wikipedia.org/wiki/Dolmen du Cloup de Coutze;;;;44.56228;001.92353
Dolmen du Pech de la Roussille ;Béduer;;;;;44.56278;1.91778
Dolmen de Noble ;Boussac (Lot);;;;;44.58090;001.91394
Dolmens du Causse de Bullac ;Boussac (Lot);;;2 dolmens Clottes   en fait le N°2 est administrativement sur Corn;;44.59478;1.90327
Dolmen du Mas de Brézac ;Boussac (Lot);;;;;44.58446;001.91262
Dolmen du Mas de Brézac  champ de Palabre ;Boussac (Lot);;;Dolmen double;;"44°34'57""";"1°54'27"""
Dolmen du Mas de Brézac  les Tuilières ;Boussac (Lot);;;;;"44°34'58""";"1°54'35"""
Cayrou Gros ;Brengues;;;Dolmen dont la table a disparu depuis.;;44.55807;001.84209
Dolmen de Lapeyrière ;Brengues;https://fr.wikipedia.org/wiki/Dolmen de Lapeyrière;;;;44.60167;1.82167
Dolmen des Fourques Basses ;Brengues;;;;;44.60609;1.80993
Dolmen des Fourques Hautes ;Brengues;;;;;44.592396;1.821795
Dolmen du Pré de Linars ;Brengues;;;;;44.55541;001.84257
Dolmens du Mas dArjac   Dolmen n° 1;Cabrerets;https://fr.wikipedia.org/wiki/Dolmens du Mas d'Arjac;Base Mérimée PA00094993 ;3 dolmens autre nom Dolmen du Pech dAlcayre (dolmen n° 1);  Dolmen n° 1 <brInscrit MH 1966<brDolmen n° 3 détruit;44.5029;1.6747
Dolmens du Mas dArjac Dolmen n° 2;Cabrerets;https://fr.wikipedia.org/wiki/Dolmens du Mas d'Arjac;Base Mérimée PA00094993 ;3 dolmens autre nom Dolmen du Pech dAlcayre (dolmen n° 1);  Dolmen n° 1 <brInscrit MH 1966<brDolmen n° 3 détruit;44.501920;1.673790
Dolmen de Bouriou n°1 ;Cajarc;;;autre nom dolmen du Camp dInou Tou n° 1;;44.50171;1.86310
Dolmens dAubiac ;Calvignac;;;2 dolmens<brautre nom Dolmen des Quatre-Routes (dolmen n° 1);;44.43028;1.81417
Dolmen de Commun ;Calvignac;;;autre nom Dolmen du Pech Grillé;;44.432750;1.777528
Dolmen de la Pièce Grande ;Calvignac;;;;;44.43778;1.79472
Dolmen de Peyre Gagès ;Calvignac;https://fr.wikipedia.org/wiki/Dolmen de Peyre Gagès;;;;44.443436;1.777750
Dolmens du Mas-del-Duc Dolmen A;Calvignac;;;autres noms <brDolmen de Peyrelevade (n° 1) <br Dolmen du Pech Gayral (n° 2);;44.423060;1.783610
