"Nom cavité";"Alias";"Commune";"IGN";"X Lambert3";"Y Lambert3";"Latitude";"Longitude";"Altitude";"Description";"Page Taisne";"Plan"
"exsurgence temporaire de l'ABBAYE NOUVELLE";"";"Léobard";"2037 E";"518.22";"3268.03";"44.707641";"1.304498";"135";"Au cimetière de l'Abbaye nouvelle (8km ESE de Gourdon par la D 673), suivre le chemin qui longe la base du coteau direction<br/>
SE. L'émergence se trouve à 220m, juste sous le chemin, derrière un gros bouquet de ronces : orifice busé de 1m de diamètre, en<br/>
tête d'un petit fossé d'écoulement rejoignant le Céou.";"5";""
"perte de l'ABOIS";"";"Assier";"2237 W";"564.5";"3263.47";"44.670352";"1.888844";"345";"D'Assier, prendre au SE la petite route (D 11) de Reyrevignes. À environ 700m (120m après le carrefour du Mas de Bède), après<br/>
avoir franchi un thalweg que suit une ligne à haute tension, prendre un chemin montant à gauche (ESE) : la perte est à 50m, juste<br/>
en contrebas du chemin, au pied d'un petit à-pic. Porche de 3m de haut sur 5m de large, orienté au NNE. Plan 60.";"5";"60"
"grotte de l'ADDO";"";"Salviac";"2037 E";"517.11";"3266.92";"44.697526";"1.29067";"230";"A 300m ESE du village de Pech Curet (3km NE de Salviac par la D 673), par sentier balisé : orifice de 1m50 sur 0m30 dans<br/>
le sol, recouvert d'une grille. Plan 169.";"5";"169"
"igue (n°1) des ADRETS";"ou de CHAMBERT - ou de TERRISSE";"Le Bastit";"2137 E";"547.31";"3271.55";"44.742018";"1.671233";"315";"À 5km de Gramat, sur la route de Labastide-Murat (D 677), 1km3 avant Péchaud, 200m avant la traversée d'une légère combe<br/>
précédant un grand virage à gauche, franchir une barrière à droite et suivre un chemin direction SW d'abord, puis WSW. A 200m de<br/>
la route laisser le chemin qui mène tout droit à un portail, et prendre celui qui part à gauche et, à 50m, s'engage entre 2 murets,<br/>
descend dans une combe et en suit le côté gauche (S). À 700m de la route, le fond de la combe devient entièrement boisé et un large<br/>
passage s'ouvre dans le muret de droite. L'igue s'ouvre dans le bois à droite, à 40m NNW : orifice de 1m40 sur 0m60 à moitié obstrué<br/>
par un rocher, dans un creux, au pied de gros blocs. Plan 135.";"5";"135"
"igue du Pech de l'AGARD";"";"Lentillac-du-Causse";"2138 OT";"544.43";"3249.97";"44.5476";"1.637186";"320";"À 1km6 S de Lentillac, à 35m W de la route d'Aussou, juste après un S de la route, au niveau du poteau télégraphique n°52<br/>
(600m après l'embranchement de Dantonnet, 140m avant un chemin à droite, environ 500m avant le point le plus haut de la route).<br/>
Orifice de 0m50 sur 1m recouvert de branchages, en terrain dégagé avec petits chênes et buissons variés. Pointée sur l'IGN. Plans<br/>
162 et 163.";"5";""
"igue des AGARDS";"ou des AGATS - ou de FONS";"Fons";"2237 W";"569.58";"3260.16";"44.640796";"1.953105";"320";"En allant de Figeac à Reyrevignes par la D 2, 1km après Mouret, prendre à droite le chemin qui mène à la ferme des Agards :<br/>
l'igue s'ouvre en terrain dégagé à 50m SSE de la ferme, 1m50 avant d'atteindre la haie. Ouverture de 1m de diamètre recouverte de<br/>
tôles.";"5";""
"igue d'AGRANEL";"";"Limogne-en-Quercy";"2139 E";"555.92";"3235.18";"44.415281";"1.783042";"315";"De Limogne, suivre la route de Cajarc (D 19), puis, à 1500m, prendre à gauche la route de Calvignac (D 143) pendant 1250m,<br/>
jusqu'un peu après un léger virage à droite, soit 160m au-delà de la petite route venant de la ferme d'Agranel à droite, et 80m après<br/>
une cazelle à gauche. Se diriger à droite de la route, direction E, vers un poteau d'une ligne électrique, à 40m de la route. L'igue se<br/>
trouve à 55m E de ce poteau, dans un léger creux (à 15m de la bordure S d'un petit cloup). Orifice carré de 70cm de côté entouré<br/>
d'une couronne de pierres de 3m de diamètre.";"5";""
"grotte (du Rocher) des AIGLES";"";"Rocamadour";"2136 ET";"542.54";"3277.93";"44.799068";"1.610293";"210";"Au parking du château de Rocamadour, suivre le chemin qui longe la clôture à droite (direction S) et, à 160m, rejoint le haut<br/>
des falaises près d'un transformateur. Continuer encore 50m et prendre à gauche le sentier indiqué : Sanctuaires - Cité. 110m plus<br/>
loin, au premier virage à gauche, suivre le chemin de droite qui passe en contrebas d'une maison et continue, en restant toujours à<br/>
peu près au même niveau, d'abord vers l'W puis progressivement vers le N. A environ 550m du transformateur, il descend légèrement<br/>
pour franchir une petite combe et tourner à gauche en remontant. La grotte s'ouvre à une soixantaine de mètres à gauche, au pied<br/>
d'une petite falaise de 4m de hauteur (à environ 20m du début NE de la falaise). Orifice ogival de 2m20 de haut sur 2m30 de large<br/>
(l'éboulis du fond de la grotte correspond à un effondrement au bord du chemin qui passe au-dessus).";"5";""
"perte de l'AÏGO FRESCO";"";"Vidaillac";"2239 W";"558.84";"3228.53";"44.355601";"1.820232";"365";"À 2km6 de Beauregard, sur la route de Laramière (D 55), 600m après le croisement de la route de Vidaillac (D 24), prendre un<br/>
chemin à gauche (NNW). À 450m de la route, prendre le large chemin de gauche. 65m plus loin, près d'une bergerie à gauche,<br/>
franchir une claie : la perte se trouve à 85m SSE. Pour y accéder plus facilement, continuer le chemin pendant encore 50m et prendre<br/>
le chemin qui descend à gauche pendant 80m et franchir la clôture de gauche. La perte est à 80m ENE, derrière un amas de buissons<br/>
et de ronces, au pied d'une petite falaise. Orifice bas en partie muré. Plan 165.";"6";"165"
"grotte du cloup de l'ALIGRIER";"";"Caniac-du-Causse";"2138 OT";"547.69";"3258.01";"44.620197";"1.677402";"350";"Dans la Braunhie (voir p.27). De la route de Caniac à Quissac (D 71), 1km avant Clavel, face à la route de Bonneau, prendre<br/>
un sentier de brebis, direction NW, qui à 60m franchit un muret effondré, puis se dirige NNE en bordure W du vaste cloup de l'Aligrier<br/>
pendant encore 120m, jusqu'à un passage dans un autre muret, pour aboutir enfin, à 50m de ce dernier muret, à un petit cloup boisé :<br/>
la grotte, aménagée en bergerie, s'ouvre sous une belle dalle rocheuse en bordure SW de ce cloup. Indiquée sur l'IGN. Plan 70.";"6";"70"
"igue des ALYSSES";"ou de BELVEYRE";"Rocamadour";"2136 ET";"544.51";"3279.62";"44.814429";"1.63501";"250";"L'igue s'ouvre béante, en forme de triangle, sur une croupe dénudée, à 500m E des Alix et 250m NNE de la ferme de Belveyre<br/>
(130m ENE du carrefour du chemin venant de la ferme), et à 60m N du chemin qui des Alix rejoint la route (D 673) de la gare de<br/>
Rocamadour. Indiquée sur l'IGN.";"6";""
"grotte des AMBARS";"";"Cuzance";"2136 ET";"538.33";"3296.22";"44.963301";"1.554887";"260";"A 6km de Cressensac, sur la route de Martel (N 140), 800m après le carrefour de la route de Cuzance (D 33), suivre à droite<br/>
la route de Malastrèges (ancien tracé de la N 140) sur 900m, c'est-à-dire 200m avant les premières maisons du village, et prendre<br/>
le chemin qui part à droite direction SSW. S'arrêter à 600m de la route, soit 60m après la limite W d'un petit champ surélevé à droite,<br/>
au niveau d'une ruine en contrebas à gauche, et à l'intersection d'un chemin montant à droite direction E : la grotte s'ouvre dans la<br/>
pente, en terrain assez dégagé (chênes clairsemés), à 30m NE. Ouverture rectangulaire de 0m70 sur 1m50. Plan 131.";"6";"131"
